id,name,ingredients,description,photo_url,cooking_time,ingredient_types,cooking_steps
1,"Tomato Soup","tomato, onion, garlic, vegetable broth, olive oil, salt, pepper","A delicious tomato soup that warms the soul perfect for chilly days.","https://imgs.search.brave.com/GviBAbZ2_FtvMFUnH5ErjtNlTpngZTaASTdoKBPDyDQ/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly90My5m/dGNkbi5uZXQvanBn/LzAyLzQ0LzU3LzQy/LzM2MF9GXzI0NDU3/NDI4NF9wakdtTHo1/SjJydzlDWVdkY0Vy/VUI3NERrNjRKRlRl/dS5qcGc","30 minutes","mashed, chopped","1. **Prepare the Ingredients**: Wash and roughly chop 4 cups of ripe tomatoes. Peel and finely chop 1 medium onion and mince 2 cloves of garlic. Have 4 cups of vegetable broth ready.|2. **Heat the Oil**: In a large, heavy-bottomed pot, heat 2 tablespoons of olive oil over medium heat. Ensure the oil is shimmering but not smoking.|3. **Sauté the Onions**: Add the chopped onion to the pot. Sauté, stirring occasionally, until the onions become translucent and slightly softened, about 5 minutes. This releases their sweetness.|4. **Add Garlic**: Stir in the minced garlic cloves. Cook for another 1-2 minutes, until fragrant. Be careful not to burn the garlic, as it will become bitter.|5. **Add Tomatoes and Broth**: Pour the chopped tomatoes into the pot, followed by 4 cups of vegetable broth. Stir to combine. Bring the mixture to a rolling boil.|6. **Simmer the Soup**: Reduce the heat to low. Cover the pot and let the soup simmer for 20 minutes. This allows the flavors to meld together and the tomatoes to soften completely.|7. **Blend the Soup**: Remove the pot from the heat. Use an immersion blender to blend the soup directly in the pot until it is completely smooth and creamy. Alternatively, you can transfer the soup to a regular blender in batches, being careful to avoid hot splashes.|8. **Season to Taste**: Season the soup with salt and pepper to taste. Start with a small amount and adjust as needed. You can also add a pinch of sugar to balance the acidity of the tomatoes.|9. **Optional: Add Fresh Herbs**: If desired, stir in 1 tablespoon of chopped fresh basil or parsley for added flavor and freshness. Let it simmer for another 2-3 minutes.|10. **Serve Hot**: Ladle the hot tomato soup into bowls. Garnish with a swirl of cream or a sprinkle of croutons if desired. Serve immediately and enjoy."
2,"Chicken Stir-Fry","chicken breast, broccoli, carrots, bell peppers, soy sauce, ginger, garlic, sesame oil","A quick and healthy stir-fry with tender chicken and crisp vegetables in a savory sauce.","https://imgs.search.brave.com/M6i4x_0Lp_5aQ9c0oJt_11Dk2z8g7-39U97x8x92Y0/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/Y2hlZmNvbGxlY3Rp/b24uY29tL3dwLWNv/bnRlbnQvdXBsb2Fkcy8y/MDE3LzEwL0NoaWNr/ZW4tU3RyLUZyeS1S/ZWNpcGUuanBn","25 minutes","sliced, chopped, minced","1. Prepare the Ingredients: Cut 1 lb of chicken breast into thin strips. Chop 1 head of broccoli into florets. Slice 2 carrots and 1 bell pepper into strips. Mince 2 cloves of garlic and grate 1 inch of ginger. Have 1/4 cup of soy sauce ready.|2. Heat the Oil: In a large skillet or wok, heat 1 tablespoon of sesame oil over high heat. The pan should be very hot.|3. Cook the Chicken: Add the chicken strips to the hot pan. Cook, stirring frequently, until the chicken is cooked through and lightly browned, about 5-7 minutes. Remove the chicken from the pan and set aside.|4. Sauté the Vegetables: Add the broccoli, carrots, and bell peppers to the same pan. Stir-fry for 3-5 minutes, until the vegetables are tender-crisp. You want them to retain some crunch.|5. Add Garlic and Ginger: Add the minced garlic and grated ginger to the pan. Stir-fry for another minute, until fragrant.|6. Return the Chicken: Return the cooked chicken to the pan. Pour in the soy sauce. Stir to combine everything.|7. Simmer the Sauce: Let the mixture simmer for 2-3 minutes, allowing the sauce to thicken slightly and the flavors to meld.|8. Season to Taste: Taste and adjust the seasoning as needed. You can add more soy sauce or a pinch of red pepper flakes for heat.|9. Serve Hot: Serve the chicken stir-fry immediately over rice or noodles. Garnish with sesame seeds if desired."
3,"Pancakes","flour, milk, eggs, sugar, baking powder, butter","Fluffy and golden pancakes, perfect for a weekend breakfast.","https://imgs.search.brave.com/R3858w_f2l6z75zFf62z_27v5p538H61K2u1k85-j0/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tZWRp/YS5icml0YW5uaWNh/LmNvbS9lbWFnZXMvMjAw/MC8xOTc2OTItMDA3/LTQxM0I5RjFDLmpwZw","20 minutes","mixed, whisked","1. Mix Dry Ingredients: In a large bowl, whisk together 1 cup of all-purpose flour, 2 tablespoons of sugar, and 2 teaspoons of baking powder.|2. Combine Wet Ingredients: In a separate bowl, whisk together 1 cup of milk and 2 eggs.|3. Combine Wet and Dry: Pour the wet ingredients into the dry ingredients. Whisk until just combined. Do not overmix; a few lumps are okay.|4. Heat the Griddle: Heat a lightly oiled griddle or frying pan over medium heat. You can use butter or cooking spray.|5. Cook the Pancakes: Pour 1/4 cup of batter onto the hot griddle for each pancake. Cook for 2-3 minutes per side, or until golden brown and bubbles form on the surface and the edges start to set.|6. Flip the Pancakes: Flip the pancakes with a spatula and cook for another 2-3 minutes on the other side.|7. Keep Warm: Transfer the cooked pancakes to a plate and keep them warm in a low oven if needed.|8. Serve Immediately: Serve the pancakes hot with your favorite toppings, such as maple syrup, butter, or fresh fruit."
4,"Guacamole","avocado, lime juice, onion, cilantro, jalapeno, salt","A creamy and flavorful dip or spread, perfect with tortilla chips or on toast.","https://imgs.search.brave.com/y4r52z3YfX6F-hJdIq0p_u64m2-e-s91mY77H3L6q-k/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/bG92YWJsZXJlY2lw/ZXMuY29tL3dwLWNv/bnRlbnQvdXBsb2Fkcy8y/MDE5LzA0L0d1YWNh/bW9sZS1yZWNpcGUuanBn","15 minutes","mashed, chopped, minced","1. Prepare the Avocados: Cut 2 ripe avocados in half, remove the pits, and scoop the flesh into a medium bowl.|2. Mash the Avocados: Use a fork or a potato masher to mash the avocados until smooth or slightly chunky, depending on your preference.|3. Add Lime Juice: Squeeze the juice of 1 lime over the mashed avocados. This prevents browning and adds a tangy flavor.|4. Chop the Ingredients: Finely chop 1/4 cup of red onion, 2 tablespoons of cilantro, and 1 jalapeno (remove seeds for less heat).|5. Combine Ingredients: Add the chopped onion, cilantro, and jalapeno to the mashed avocados. Stir to combine.|6. Season with Salt: Add salt to taste. Start with 1/2 teaspoon and adjust as needed.|7. Mix Well: Mix all the ingredients thoroughly until well combined.|8. Serve Immediately: Serve the guacamole immediately with tortilla chips, vegetable sticks, or as a topping for tacos or toast."
5,"Spaghetti Aglio e Olio","spaghetti, garlic, olive oil, red pepper flakes, parsley, salt, pepper","A simple and flavorful pasta dish with garlic and olive oil.","https://imgs.search.brave.com/M8P9w7b4x10-t8513J0FmY872k-4cI4U_L68W4Q7b0/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/Y2hlZnN0cmVldC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MTkvMDMvU3BhZ2hl/dHRpLUFnbGlvLWUl/LU9saW8tUmVjaXBl/LmpwZw","20 minutes","minced, cooked, chopped","1. Cook the Pasta: Cook 1 lb of spaghetti according to package directions until al dente. Drain, reserving 1 cup of pasta water.|2. Prepare the Garlic: While the pasta cooks, mince 6 cloves of garlic.|3. Heat the Oil: In a large skillet, heat 1/2 cup of olive oil over medium-low heat.|4. Sauté the Garlic: Add the minced garlic and 1/2 teaspoon of red pepper flakes to the hot oil. Cook, stirring frequently, until the garlic is fragrant and lightly golden, about 2-3 minutes. Do not burn the garlic.|5. Add Pasta and Water: Add the cooked pasta to the skillet. Toss to coat with the garlic oil. Add 1/2 cup of the reserved pasta water and toss again.|6. Simmer and Thicken: Simmer for 1-2 minutes, allowing the sauce to thicken slightly. Add more pasta water if needed.|7. Season and Garnish: Season with salt and pepper to taste. Stir in 1/4 cup of chopped fresh parsley.|8. Serve Hot: Serve immediately, garnished with extra parsley and grated Parmesan cheese if desired."
6,"Chocolate Chip Cookies","flour, butter, sugar, brown sugar, eggs, vanilla extract, chocolate chips","Classic chocolate chip cookies with a chewy center and crispy edges.","https://imgs.search.brave.com/J78Yn9qE1i2-jN6o8_r9H6n7k8_vY9K9u3-F4o6m_F4/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/Y2hlZmNvbGxlY3Rp/b24uY29tL3dwLWNv/bnRlbnQvdXBsb2Fkcy8y/MDE3LzA5L0Nob2Nv/bGF0ZS1DaGlwLUNv/b2tpZS1SZWNpcGUu/anBn","30 minutes","creamed, mixed, baked","1. Preheat Oven: Preheat oven to 375°F (190°C).|2. Cream Butter and Sugars: In a large bowl, cream together 1 cup of softened butter, 3/4 cup of granulated sugar, and 3/4 cup of packed brown sugar until smooth.|3. Add Eggs and Vanilla: Beat in 2 eggs one at a time, then stir in 1 teaspoon of vanilla extract.|4. Combine Dry Ingredients: In a separate bowl, whisk together 2 1/4 cups of all-purpose flour and 1 teaspoon of baking soda.|5. Combine Wet and Dry: Gradually stir the dry ingredients into the wet ingredients until just combined.|6. Add Chocolate Chips: Stir in 2 cups of chocolate chips.|7. Bake the Cookies: Drop rounded tablespoons of dough onto ungreased baking sheets. Bake for 9-11 minutes, or until golden brown.|8. Cool and Serve: Let the cookies cool on the baking sheets for a few minutes before transferring them to a wire rack to cool completely."
7,"Lemon Herb Roasted Chicken","chicken, lemon, rosemary, thyme, garlic, olive oil, salt, pepper","A flavorful roasted chicken with lemon and herbs.","https://imgs.search.brave.com/oBvFq8U31H76x198xX9v70_W5r57N67i46m3x2F71L8/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/Y2hhcm1pbmdsaXZp/bmcuY29tL3dwLWNv/bnRlbnQvdXBsb2Fkcy8y/MDE5LzA5L0xlbW9u/LUhlcmItUm9hc3Rl/ZC1DaGlja2VuLTEu/anBn","1 hour 30 minutes","roasted, chopped, minced","1. Preheat Oven: Preheat oven to 400°F (200°C).|2. Prepare the Chicken: Rinse and pat dry a whole chicken (about 3-4 lbs).|3. Prepare the Herbs and Garlic: Chop 2 tablespoons of fresh rosemary and 2 tablespoons of fresh thyme. Mince 4 cloves of garlic.|4. Season the Chicken: In a small bowl, combine the chopped herbs, minced garlic, 1/4 cup of olive oil, salt, and pepper. Rub the mixture all over the chicken, including inside the cavity.|5. Add Lemon: Cut 1 lemon in half. Place one half inside the chicken cavity. Slice the other half and place the slices around the chicken.|6. Roast the Chicken: Place the chicken in a roasting pan. Roast for 1 hour 15 minutes to 1 hour 30 minutes, or until the chicken is cooked through and the juices run clear.|7. Rest Before Carving: Let the chicken rest for 10-15 minutes before carving.|8. Serve Hot: Carve the chicken and serve hot with the roasted lemon slices and pan juices."
9,"Avial","mixed vegetables, coconut oil, coconut milk, curry leaves, green chilies, yogurt, turmeric","A traditional Kerala mixed vegetable dish cooked in coconut milk and yogurt.","https://imgs.search.brave.com/f98Vb4x0091sQyM8K42X3e-63t6Vz_64x92m2uQ5I4/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9BdmlhbC1R/dWVlbi1TaXplLmpwZw","30 minutes","chopped, cooked, ground","1. Prepare Vegetables: Chop 1 cup each of carrots, drumsticks, potatoes, snake gourd, and raw bananas into 2-inch pieces. Chop 2 green chilies lengthwise.|2. Cook Vegetables: In a large pot, combine the chopped vegetables, 1/2 teaspoon of turmeric powder, and salt. Add enough water to cover the vegetables. Cook until they are tender but not mushy.|3. Grind Coconut Paste: Grind 1 cup of grated coconut with 2 green chilies into a coarse paste.|4. Add Coconut Paste: Add the ground coconut paste to the cooked vegetables. Mix well and cook for 2-3 minutes.|5. Add Yogurt: Whisk 1/2 cup of yogurt until smooth. Add it to the vegetable mixture. Stir gently and cook for another 2-3 minutes on low heat. Do not boil.|6. Temper with Coconut Oil: Heat 2 tablespoons of coconut oil in a small pan. Add 1 teaspoon of mustard seeds and let them splutter. Add a few curry leaves and pour the tempering over the avial.|7. Mix and Serve: Mix well and serve hot with rice."
10,"Kerala Fish Curry (Meen Curry)","fish, coconut oil, coconut milk, shallots, ginger, garlic, curry leaves, tamarind, chili powder, coriander powder","A spicy and tangy fish curry cooked in coconut milk, a staple of Kerala cuisine.","https://imgs.search.brave.com/y0P8c1v7J41QnK8i_o9_24qX7w398_H5qX52X3V6zY/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9LZXJhbGEt/RmlzaC1DdXJyLVF1/ZWVuLVNpemUuanBn","40 minutes","sliced, minced, cooked, ground","1. Prepare Fish: Cut 1 lb of fish (kingfish or seer fish) into medium-sized pieces. Marinate with a pinch of turmeric and salt.|2. Prepare Ingredients: Chop 10 shallots, mince 1 inch of ginger and 4 cloves of garlic. Soak a small ball of tamarind in warm water and extract the juice.|3. Heat Oil: Heat 2 tablespoons of coconut oil in a pot. Add mustard seeds and let them splutter. Add curry leaves and shallots. Sauté until golden brown.|4. Add Ginger and Garlic: Add minced ginger and garlic. Sauté until fragrant.|5. Add Spices: Add 2 teaspoons of chili powder, 1 teaspoon of coriander powder, and 1/2 teaspoon of turmeric powder. Sauté for a minute.|6. Add Tamarind Juice: Pour in the tamarind extract and salt. Bring to a boil.|7. Add Fish: Gently add the fish pieces. Cook until the fish is cooked through, about 10-15 minutes.|8. Add Coconut Milk: Pour in 1 cup of thick coconut milk. Simmer for 5 minutes. Do not boil.|9. Garnish and Serve: Garnish with curry leaves and serve hot with rice."
11,"Thalassery Biryani","rice, chicken/mutton, ghee, onions, tomatoes, ginger, garlic, spices, mint leaves, coriander leaves","A flavorful biryani from the Thalassery region of Kerala, known for its unique blend of spices and rice.","https://imgs.search.brave.com/P4w8P871yG828k87_7x772863B8_77498c87_2984/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9UaGFsYXNz/ZXJ5LUJpcm15YW5p/LVF1ZWVuLVNpemUu/anBn","1 hour 30 minutes","sliced, fried, cooked, layered","1. Marinate Meat: Marinate 1 kg of chicken/mutton with ginger-garlic paste, chili powder, turmeric powder, garam masala, and yogurt for 1 hour.|2. Fry Onions: Slice 4 large onions thinly. Fry them in ghee until golden brown. Set aside half for garnishing.|3. Prepare Masala: In the same ghee, add ginger-garlic paste, chopped tomatoes, green chilies, and spice powders. Sauté until oil separates. Add marinated meat and cook until tender.|4. Cook Rice: Cook 1 kg of Kaima rice with water and salt until 75% done. Drain.|5. Layer Biryani: In a large pot, layer half of the rice, meat masala, fried onions, mint leaves, and coriander leaves. Top with the remaining rice.|6. Drizzle Ghee: Drizzle ghee over the rice and cover the pot tightly.|7. Dum Cooking: Cook on low heat for 20-30 minutes.|8. Garnish and Serve: Garnish with remaining fried onions and serve hot with raita."
